@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {0, 1, 2}
@ATTRIBUTE internal {0, 1, 2}

@DATA
http://wwatana.be/mobile/projetos-2019/11,40.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/40.png,results/iphonese/40.png,37.0,32.0,190.0,217.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1176351.0,8563.4,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],0.5,37.0,32.0,152.0,141.0,37.0,32.0,268.0,333.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,39.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/39.png,results/iphonese/39.png,37.0,32.0,152.0,141.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1345248.0,9564.3,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],1.0,0.0,0.0,0.0,0.0,37.0,32.0,190.0,217.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,38.0,H1,2.0,60.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,37.0,32.0,152.0,141.0,76.0,152.0,300.0,256.0,0.0,0.0,56.0,56.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1],/body[2]/div[1]/div[3]/div[1]/h1[1],/body[2]/div[1]/div[3]/div[1]/h1[1],0.0,0.0,0.0,0.0,0.0,37.0,32.0,268.0,333.0,0.0,0.0,'Red Hat Display','Red Hat Display',2,0
http://wwatana.be/mobile/projetos-2019/11,40.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/40.png,results/iphonese/40.png,37.0,32.0,190.0,217.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1176351.0,8563.4,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],0.5,37.0,32.0,152.0,141.0,37.0,32.0,268.0,333.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,39.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/39.png,results/iphonese/39.png,37.0,32.0,152.0,141.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1345248.0,9564.3,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],1.0,0.0,0.0,0.0,0.0,37.0,32.0,190.0,217.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,38.0,H1,2.0,60.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,37.0,32.0,152.0,141.0,76.0,152.0,300.0,256.0,0.0,0.0,56.0,56.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1],/body[2]/div[1]/div[3]/div[1]/h1[1],/body[2]/div[1]/div[3]/div[1]/h1[1],0.0,0.0,0.0,0.0,0.0,37.0,32.0,268.0,333.0,0.0,0.0,'Red Hat Display','Red Hat Display',2,0
http://wwatana.be/mobile/projetos-2019/09,28.0,LABEL,0.0,65.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/28.png,results/motog4/28.png,38.0,36.0,767.0,753.0,14.0,28.0,322.0,314.0,0.0,0.0,761.0,745.0,757001.0,665591.5,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],0.4,17.0,14.0,764.0,748.0,72.0,65.0,799.0,797.0,1.0,1.0,-webkit-standard,'Times New Roman',2,2
http://wwatana.be/mobile/projetos-2019/09,28.0,LABEL,0.0,65.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/28.png,results/iphonese/28.png,38.0,29.0,767.0,738.0,14.0,30.0,322.0,285.0,0.0,0.0,761.0,732.0,616743.0,13030.8,750.0,640.0,375.0,320.0,/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],0.3,17.0,8.0,764.0,735.0,72.0,45.0,799.0,785.0,1.0,1.0,-webkit-standard,-webkit-standard,2,2
http://wwatana.be/mobile/projetos-2019/05,37.0,A,0.0,71.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/37.png,results/motog4/37.png,5.0,46.0,59.0,59.0,44.0,40.0,365.0,301.0,5.0,12.0,59.0,59.0,1968195.0,4479746.0,750.0,1080.0,375.0,360.0,/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,104.0,1.0,1.0,font-strong,font-strong,2,1
http://wwatana.be/mobile/projetos-2019/05,37.0,A,0.0,71.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/37.png,results/iphonese/37.png,5.0,19.0,59.0,59.0,44.0,66.0,365.0,282.0,5.0,19.0,59.0,59.0,1844890.0,7484.9,750.0,640.0,375.0,320.0,/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],0.8,0.0,0.0,0.0,0.0,0.0,0.0,108.0,130.0,1.0,1.0,font-strong,font-strong,2,2
