@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {0, 1, 2}
@ATTRIBUTE internal {0, 1, 2}

@DATA
http://wwatana.be/mobile/projetos-2019/11,67.0,A,0.0,15.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/67.png,results/motog4/67.png,35.0,34.0,2013.0,1989.0,80.0,79.0,249.0,241.0,15.0,14.0,2028.0,2004.0,1251771.0,101810.5,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[3]/div[3]/a[1],/body[2]/div[2]/div[3]/div[3]/a[1],/body[2]/div[2]/div[3]/div[3]/a[1],0.6,35.0,34.0,1818.0,1794.0,0.0,0.0,0.0,0.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,65.0,P,0.0,86.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/65.png,results/motog4/65.png,35.0,34.0,1867.0,1842.0,75.0,75.0,305.0,291.0,35.0,34.0,1818.0,1794.0,3200622.0,13615.9,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[3]/div[2]/p[2],/body[2]/div[2]/div[3]/div[2]/p[2],/body[2]/div[2]/div[3]/div[2]/p[2],0.5,35.0,34.0,1815.0,1791.0,15.0,14.0,2028.0,2004.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,64.0,A,0.0,12.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/64.png,results/motog4/64.png,35.0,34.0,1815.0,1791.0,34.0,33.0,161.0,158.0,35.0,34.0,1818.0,1794.0,1025589.0,4440.6,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[3]/div[2]/a[1],/body[2]/div[2]/div[3]/div[2]/a[1],/body[2]/div[2]/div[3]/div[2]/a[1],0.4,15.0,14.0,1600.0,1584.0,35.0,34.0,1867.0,1842.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,60.0,A,0.0,21.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/60.png,results/motog4/60.png,32.0,34.0,1519.0,1503.0,80.0,79.0,277.0,267.0,12.0,14.0,1534.0,1518.0,2053857.0,58100.7,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[3]/a[1],/body[2]/div[2]/div[2]/div[3]/a[1],/body[2]/div[2]/div[2]/div[3]/a[1],0.4,32.0,34.0,1324.0,1308.0,14.0,13.0,1599.0,1583.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,40.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/40.png,results/motog4/40.png,37.0,36.0,190.0,187.0,38.0,38.0,300.0,288.0,37.0,36.0,152.0,149.0,913878.0,3636.2,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],0.5,37.0,36.0,152.0,149.0,37.0,36.0,268.0,265.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,39.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/39.png,results/motog4/39.png,37.0,36.0,152.0,149.0,38.0,38.0,300.0,288.0,37.0,36.0,152.0,149.0,1128624.0,4588.3,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],0.3,0.0,0.0,0.0,0.0,37.0,36.0,190.0,187.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,2
http://wwatana.be/mobile/projetos-2019/11,40.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/40.png,results/iphonese/40.png,37.0,32.0,190.0,217.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1176351.0,8563.4,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],0.5,37.0,32.0,152.0,141.0,37.0,32.0,268.0,333.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,39.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/39.png,results/iphonese/39.png,37.0,32.0,152.0,141.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1345248.0,9564.3,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],1.0,0.0,0.0,0.0,0.0,37.0,32.0,190.0,217.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,40.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/40.png,results/iphonese/40.png,37.0,32.0,190.0,217.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1176351.0,8563.4,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[2],0.5,37.0,32.0,152.0,141.0,37.0,32.0,268.0,333.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/11,39.0,SPAN,0.0,17.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/39.png,results/iphonese/39.png,37.0,32.0,152.0,141.0,38.0,76.0,300.0,256.0,37.0,32.0,152.0,141.0,1345248.0,9564.3,750.0,640.0,375.0,320.0,/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],/body[2]/div[1]/div[3]/div[1]/h1[1]/span[1],1.0,0.0,0.0,0.0,0.0,37.0,32.0,190.0,217.0,1.0,1.0,'Red Hat Display','Red Hat Display',2,2
http://wwatana.be/mobile/projetos-2019/09,28.0,LABEL,0.0,65.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/28.png,results/motog4/28.png,38.0,36.0,767.0,753.0,14.0,28.0,322.0,314.0,0.0,0.0,761.0,745.0,757001.0,665591.5,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],0.4,17.0,14.0,764.0,748.0,72.0,65.0,799.0,797.0,1.0,1.0,-webkit-standard,'Times New Roman',2,2
http://wwatana.be/mobile/projetos-2019/09,27.0,INPUT,0.0,0.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/27.png,results/motog4/27.png,17.0,14.0,764.0,748.0,16.0,16.0,16.0,16.0,0.0,0.0,761.0,745.0,50314.0,256.0,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[1]/div[3]/input[1],/body[2]/div[2]/div[2]/div[1]/div[3]/input[1],/body[2]/div[2]/div[2]/div[1]/div[3]/input[1],0.9,0.0,0.0,554.0,540.0,38.0,36.0,767.0,753.0,0.0,0.0,Helvetica,Arial,0,2
http://wwatana.be/mobile/projetos-2019/09,11.0,DIV,0.0,1.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/11.png,results/motog4/11.png,336.0,322.0,11.0,14.0,40.0,41.0,35.0,34.0,336.0,322.0,15.0,15.0,100019.0,128364.4,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2]/div[7],/body[2]/div[1]/div[2]/div[7],/body[2]/div[1]/div[2]/div[7],1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,1.0,1.0,-webkit-standard,'Times New Roman',0,2
http://wwatana.be/mobile/projetos-2019/09,28.0,LABEL,0.0,65.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/28.png,results/iphonese/28.png,38.0,29.0,767.0,738.0,14.0,30.0,322.0,285.0,0.0,0.0,761.0,732.0,616743.0,13030.8,750.0,640.0,375.0,320.0,/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],/body[2]/div[2]/div[2]/div[1]/div[3]/label[2],0.3,17.0,8.0,764.0,735.0,72.0,45.0,799.0,785.0,1.0,1.0,-webkit-standard,-webkit-standard,2,2
http://wwatana.be/mobile/projetos-2019/05,53.0,STRONG,0.0,15.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/53.png,results/motog4/53.png,94.0,94.0,1156.0,1122.0,34.0,33.0,186.0,171.0,0.0,0.0,1051.0,1017.0,419713.0,1187320.0,750.0,1080.0,375.0,360.0,/body[2]/footer[3]/div[2]/strong[2],/body[2]/footer[3]/div[2]/strong[2],/body[2]/footer[3]/div[2]/strong[2],0.8,167.0,160.0,1086.0,1052.0,35.0,35.0,1220.0,1185.0,1.0,1.0,font-strong,font-strong,0,2
http://wwatana.be/mobile/projetos-2019/05,37.0,A,0.0,71.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/37.png,results/iphonese/37.png,5.0,19.0,59.0,59.0,44.0,66.0,365.0,282.0,5.0,19.0,59.0,59.0,1844890.0,7484.9,750.0,640.0,375.0,320.0,/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],/body[2]/header[1]/div[2]/strong[1]/a[1],0.8,0.0,0.0,0.0,0.0,0.0,0.0,108.0,130.0,1.0,1.0,font-strong,font-strong,2,2
http://wwatana.be/mobile/projetos-2019/03,43.0,P,0.0,145.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/43.png,results/motog4/43.png,28.0,28.0,962.0,950.0,88.0,110.0,251.0,240.0,28.0,28.0,962.0,950.0,1669902.0,43282.8,750.0,1080.0,375.0,360.0,/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],0.8,28.0,28.0,917.0,905.0,28.0,28.0,1032.0,1020.0,1.0,1.0,-webkit-standard,'Times New Roman',1,2
