@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {0, 1, 2}
@ATTRIBUTE internal {0, 1, 2}

@DATA
http://wwatana.be/mobile/projetos-2019/11,62.0,IMG,0.0,0.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/62.png,results/motog4/62.png,15.0,14.0,1600.0,1584.0,194.0,186.0,345.0,331.0,14.0,13.0,1599.0,1583.0,5888687.0,196933.6,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[3]/img[1],/body[2]/div[2]/div[3]/img[1],/body[2]/div[2]/div[3]/img[1],1.0,11.0,13.0,1105.0,1097.0,35.0,34.0,1818.0,1794.0,0.0,0.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,58.0,P,0.0,85.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/58.png,results/motog4/58.png,32.0,34.0,1404.0,1386.0,75.0,75.0,305.0,291.0,32.0,34.0,1324.0,1308.0,2468901.0,14636.5,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[2]/p[2],/body[2]/div[2]/div[2]/div[2]/p[2],/body[2]/div[2]/div[2]/div[2]/p[2],0.6,32.0,34.0,1321.0,1305.0,12.0,14.0,1534.0,1518.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,57.0,A,0.0,28.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/57.png,results/motog4/57.png,32.0,34.0,1321.0,1305.0,65.0,63.0,288.0,286.0,32.0,34.0,1324.0,1308.0,1543653.0,17042.7,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[2]/div[2]/a[1],/body[2]/div[2]/div[2]/div[2]/a[1],/body[2]/div[2]/div[2]/div[2]/a[1],1.0,12.0,14.0,1106.0,1098.0,32.0,34.0,1404.0,1386.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,53.0,SPAN,0.0,15.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/53.png,results/motog4/53.png,71.0,73.0,1040.0,1032.0,20.0,19.0,139.0,131.0,32.0,34.0,1025.0,1017.0,353886.0,7378.6,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[1]/div[3]/a[1]/span[1],/body[2]/div[2]/div[1]/div[3]/a[1]/span[1],/body[2]/div[2]/div[1]/div[3]/a[1]/span[1],0.5,32.0,34.0,830.0,822.0,11.0,13.0,1105.0,1097.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,50.0,P,0.0,88.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/50.png,results/motog4/50.png,32.0,34.0,910.0,900.0,75.0,75.0,305.0,291.0,32.0,34.0,830.0,822.0,2463465.0,14681.4,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[1]/div[2]/p[2],/body[2]/div[2]/div[1]/div[2]/p[2],/body[2]/div[2]/div[1]/div[2]/p[2],0.8,32.0,34.0,827.0,819.0,12.0,14.0,1040.0,1032.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,49.0,A,0.0,38.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/49.png,results/motog4/49.png,32.0,34.0,827.0,819.0,65.0,63.0,242.0,239.0,32.0,34.0,830.0,822.0,2249742.0,23140.3,750.0,1080.0,375.0,360.0,/body[2]/div[2]/div[1]/div[2]/a[1],/body[2]/div[2]/div[1]/div[2]/a[1],/body[2]/div[2]/div[1]/div[2]/a[1],1.0,12.0,14.0,612.0,612.0,32.0,34.0,910.0,900.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,41.0,P,0.0,43.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/41.png,results/motog4/41.png,37.0,36.0,268.0,265.0,40.0,38.0,300.0,288.0,0.0,0.0,56.0,56.0,1062624.0,9941.5,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[1]/p[2],/body[2]/div[1]/div[3]/div[1]/p[2],/body[2]/div[1]/div[3]/div[1]/p[2],0.6,37.0,36.0,152.0,149.0,37.0,36.0,348.0,343.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,32.0,SPAN,0.0,0.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/32.png,results/motog4/32.png,347.0,332.0,18.0,18.0,19.0,19.0,17.0,17.0,337.0,322.0,16.0,16.0,23025.0,334.8,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2]/div[2]/ul[1]/li[6]/a[1]/span[1],/body[2]/div[1]/div[2]/div[2]/ul[1]/li[6]/a[1]/span[1],/body[2]/div[1]/div[2]/div[2]/ul[1]/li[6]/a[1]/span[1],1.0,147.0,141.0,16.0,16.0,147.0,141.0,16.0,16.0,0.0,0.0,'Font Awesome 5 Free','Font Awesome 5 Free',0,1
http://wwatana.be/mobile/projetos-2019/11,17.0,DIV,0.0,0.0,'iOS 13.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/17.png,results/motog4/17.png,30.0,28.0,0.0,0.0,56.0,56.0,110.0,105.0,0.0,0.0,0.0,0.0,268007.0,51269.9,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2]/div[1],/body[2]/div[1]/div[2]/div[1],/body[2]/div[1]/div[2]/div[1],0.5,0.0,0.0,0.0,0.0,140.0,134.0,0.0,0.0,0.0,0.0,'Red Hat Display','Red Hat Display',0,1
http://wwatana.be/mobile/projetos-2019/11,65.0,P,0.0,86.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/65.png,results/iphonese/65.png,35.0,32.0,1867.0,1780.0,75.0,100.0,305.0,254.0,35.0,32.0,1818.0,1731.0,3047910.0,4237.4,750.0,640.0,375.0,320.0,/body[2]/div[2]/div[3]/div[2]/p[2],/body[2]/div[2]/div[3]/div[2]/p[2],/body[2]/div[2]/div[3]/div[2]/p[2],0.5,35.0,32.0,1815.0,1728.0,15.0,12.0,2028.0,1941.0,1.0,1.0,'Red Hat Display','Red Hat Display',0,1
