,URL,motog4-external,motog4-internal,iphonese-external,iphonese-internal,iphone8plus-external,iphone8plus-internal
0,http://wwatana.be/mobile/mobile/201602/04/1.html,5,7,4,6,2,4
1,http://wwatana.be/mobile/mobile/201602/09/1.html,1,3,6,1,0,1
2,http://wwatana.be/mobile/mobile/201602/13/1.html,3,2,1,1,1,1
3,http://wwatana.be/mobile/mobile/201602/17/1.html,0,0,0,0,1,1
4,http://wwatana.be/mobile/mobile/201701/01/1.html,1,1,11,7,5,2
5,http://wwatana.be/mobile/mobile/201701/18/1.html,0,2,1,1,0,0
6,http://wwatana.be/mobile/mobile/201702/01/index.html,0,0,2,2,0,0
7,http://wwatana.be/mobile/mobile/201702/15/index.html,2,0,0,0,0,0
8,http://wwatana.be/mobile/mobile/201801/1/,0,0,1,1,0,0
9,http://wwatana.be/mobile/mobile/201801/11/,1,0,2,1,1,1
10,http://wwatana.be/mobile/mobile/201801/12/,3,2,0,0,0,0
11,http://wwatana.be/mobile/mobile/201801/2/,1,3,0,2,1,0
12,http://wwatana.be/mobile/mobile/201801/3/,1,1,1,1,1,1
13,http://wwatana.be/mobile/mobile/201801/4/,1,1,1,1,0,0
14,http://wwatana.be/mobile/mobile/201801/5/,0,7,0,0,4,4
15,http://wwatana.be/mobile/mobile/201801/6/,0,1,0,0,1,1
16,http://wwatana.be/mobile/mobile/201801/9/,1,1,0,0,0,0
17,http://wwatana.be/mobile/projetos-2019/03,0,3,3,4,4,3
18,http://wwatana.be/mobile/projetos-2019/05,1,1,2,1,1,0
19,http://wwatana.be/mobile/projetos-2019/09,1,3,1,1,0,0
20,http://wwatana.be/mobile/projetos-2019/11,0,6,6,4,0,0
21,http://wwatana.be/mobile/topsites/h5.m.taobao.com/,0,1,0,4,0,0
22,http://wwatana.be/mobile/topsites/m.360.cn/,8,5,41,3,0,0
23,http://wwatana.be/mobile/topsites/m.baidu.com/,0,0,1,2,0,0
24,http://wwatana.be/mobile/topsites/m.ebay.com/,3,2,12,11,3,6
25,http://wwatana.be/mobile/topsites/m.twitch.tv/,2,1,0,0,2,1
26,http://wwatana.be/mobile/topsites/m.youtube.com/,0,0,0,0,0,0
27,http://wwatana.be/mobile/topsites/mail.ru/,4,1,1,3,0,7
28,http://wwatana.be/mobile/topsites/mobile.twitter.com/,0,0,0,0,0,0
29,http://wwatana.be/mobile/topsites/www.amazon.com/,0,0,0,0,0,0
30,http://wwatana.be/mobile/topsites/www.google.com/,0,1,0,1,0,0
31,http://wwatana.be/mobile/topsites/www.linkedin.com/,0,2,2,2,1,1
32,http://wwatana.be/mobile/topsites/www.live.com/,3,2,3,1,0,0
33,http://wwatana.be/mobile/topsites/www.netflix.com/,0,2,4,6,1,4
34,http://wwatana.be/mobile/topsites/www.wikipedia.org/,5,4,28,4,4,6
35,http://wwatana.be/mobile/topsites/www.yandex.ru/,0,12,1,7,16,17
