@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {1, 0}
@ATTRIBUTE internal {1, 0}
@ATTRIBUTE base_bin1 NUMERIC
@ATTRIBUTE base_bin2 NUMERIC
@ATTRIBUTE base_bin3 NUMERIC
@ATTRIBUTE base_bin4 NUMERIC
@ATTRIBUTE base_bin5 NUMERIC
@ATTRIBUTE base_bin6 NUMERIC
@ATTRIBUTE base_bin7 NUMERIC
@ATTRIBUTE base_bin8 NUMERIC
@ATTRIBUTE base_bin9 NUMERIC
@ATTRIBUTE base_bin10 NUMERIC
@ATTRIBUTE target_bin1 NUMERIC
@ATTRIBUTE target_bin2 NUMERIC
@ATTRIBUTE target_bin3 NUMERIC
@ATTRIBUTE target_bin4 NUMERIC
@ATTRIBUTE target_bin5 NUMERIC
@ATTRIBUTE target_bin6 NUMERIC
@ATTRIBUTE target_bin7 NUMERIC
@ATTRIBUTE target_bin8 NUMERIC
@ATTRIBUTE target_bin9 NUMERIC
@ATTRIBUTE target_bin10 NUMERIC
@ATTRIBUTE diff_bin01 NUMERIC
@ATTRIBUTE diff_bin02 NUMERIC
@ATTRIBUTE diff_bin03 NUMERIC
@ATTRIBUTE diff_bin04 NUMERIC
@ATTRIBUTE diff_bin05 NUMERIC
@ATTRIBUTE diff_bin11 NUMERIC
@ATTRIBUTE diff_bin12 NUMERIC
@ATTRIBUTE diff_bin13 NUMERIC
@ATTRIBUTE diff_bin14 NUMERIC
@ATTRIBUTE diff_bin15 NUMERIC
@ATTRIBUTE diff_bin21 NUMERIC
@ATTRIBUTE diff_bin22 NUMERIC
@ATTRIBUTE diff_bin23 NUMERIC
@ATTRIBUTE diff_bin24 NUMERIC
@ATTRIBUTE diff_bin25 NUMERIC
@ATTRIBUTE diff_bin31 NUMERIC
@ATTRIBUTE diff_bin32 NUMERIC
@ATTRIBUTE diff_bin33 NUMERIC
@ATTRIBUTE diff_bin34 NUMERIC
@ATTRIBUTE diff_bin35 NUMERIC
@ATTRIBUTE diff_bin41 NUMERIC
@ATTRIBUTE diff_bin42 NUMERIC
@ATTRIBUTE diff_bin43 NUMERIC
@ATTRIBUTE diff_bin44 NUMERIC
@ATTRIBUTE diff_bin45 NUMERIC
@ATTRIBUTE sdd NUMERIC
@ATTRIBUTE ncc NUMERIC
@ATTRIBUTE base_centroid_x NUMERIC
@ATTRIBUTE base_centroid_y NUMERIC
@ATTRIBUTE base_orientation NUMERIC
@ATTRIBUTE target_centroid_x NUMERIC
@ATTRIBUTE target_centroid_y NUMERIC
@ATTRIBUTE target_orientation NUMERIC
@ATTRIBUTE missmatch NUMERIC
@ATTRIBUTE emd NUMERIC
@ATTRIBUTE ssim NUMERIC
@ATTRIBUTE mse NUMERIC
@ATTRIBUTE psnr NUMERIC

@DATA
http://192.168.0.13:8080/63/index.notranslate.html,274.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/57/results/iphone12/274.png,./log-alexa/57/null,195.0,-1.0,1186.0,-1.0,18.0,-1.0,1.0,-1.0,31.0,-1.0,1017.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[3]/br[3],/body[2]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[3]/br[3],null,-1.0,195.0,-1.0,1165.0,-1.0,31.0,-1.0,1206.0,-1.0,0.0,-1.0,-apple-system,null,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9111111111111111,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/63/index.notranslate.html,273.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/57/results/iphone12/273.png,./log-alexa/57/null,195.0,-1.0,1165.0,-1.0,18.0,-1.0,1.0,-1.0,31.0,-1.0,1017.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[3]/br[2],/body[2]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[3]/br[2],null,-1.0,31.0,-1.0,1017.0,-1.0,195.0,-1.0,1186.0,-1.0,0.0,-1.0,-apple-system,null,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9111111111111111,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/63/index.notranslate.html,242.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/57/results/iphone12/242.png,./log-alexa/57/null,278.0,-1.0,169.0,-1.0,29.0,-1.0,1.0,-1.0,35.0,-1.0,168.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[1]/div[1]/div[2]/div[1]/div[1]/h1[1]/p[1]/br[1],/body[2]/div[1]/div[1]/div[2]/div[1]/div[1]/h1[1]/p[1]/br[1],null,-1.0,0.0,-1.0,0.0,-1.0,35.0,-1.0,276.0,-1.0,0.0,-1.0,-apple-system,null,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9111111111111111,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/63/index.notranslate.html,287.0,SPAN,0.0,4.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/57/results/iphone12/287.png,./log-alexa/57/null,382.0,-1.0,1831.0,-1.0,37.0,-1.0,82.0,-1.0,374.0,-1.0,1830.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[1]/div[1]/div[3]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/span[1],/body[2]/div[1]/div[1]/div[3]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/span[1],null,-1.0,59.0,-1.0,1712.0,-1.0,382.0,-1.0,1860.0,-1.0,1.0,-1.0,-apple-system,null,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9111111111111111,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11132.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11132.png,./log-alexa/67/null,98.0,-1.0,20399.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,20397.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[2]/div[2]/br[1],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[2]/div[2]/br[1],null,-1.0,26.0,-1.0,20375.0,-1.0,26.0,-1.0,20419.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11120.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11120.png,./log-alexa/67/null,53.0,-1.0,20186.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,20181.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[2]/p[7]/br[2],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[2]/p[7]/br[2],null,-1.0,26.0,-1.0,20188.0,-1.0,16.0,-1.0,20233.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11096.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11096.png,./log-alexa/67/null,64.0,-1.0,19718.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,19713.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[5]/br[2],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[5]/br[2],null,-1.0,26.0,-1.0,19720.0,-1.0,16.0,-1.0,19787.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11093.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11093.png,./log-alexa/67/null,102.0,-1.0,19654.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,19649.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[4]/br[2],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[4]/br[2],null,-1.0,26.0,-1.0,19656.0,-1.0,26.0,-1.0,19713.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11090.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11090.png,./log-alexa/67/null,121.0,-1.0,19590.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,19585.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[3]/br[2],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[3]/br[2],null,-1.0,26.0,-1.0,19592.0,-1.0,26.0,-1.0,19649.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
http://192.168.0.13:8080/73/index.notranslate.html,11087.0,BR,0.0,0.0,'iOS 14.5 - Safari -- iOS 14.5 - iPhone 12',null,null,null,3.0,-1.0,./log-alexa/67/results/iphone12/11087.png,./log-alexa/67/null,72.0,-1.0,19504.0,-1.0,18.0,-1.0,1.0,-1.0,26.0,-1.0,19499.0,-1.0,-1.0,-1.0,1170.0,-1.0,390.0,-1.0,/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[2]/br[2],/body[2]/div[3]/main[1]/div[3]/div[20]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/p[2]/br[2],null,-1.0,26.0,-1.0,19506.0,-1.0,26.0,-1.0,19585.0,-1.0,0.0,-1.0,AmazonEmber,null,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967213114754098,-1.0,-1.0,-1.0,-1.0
