@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {0, 1, 2}
@ATTRIBUTE internal {0, 1, 2}
@ATTRIBUTE base_bin1 NUMERIC
@ATTRIBUTE base_bin2 NUMERIC
@ATTRIBUTE base_bin3 NUMERIC
@ATTRIBUTE base_bin4 NUMERIC
@ATTRIBUTE base_bin5 NUMERIC
@ATTRIBUTE base_bin6 NUMERIC
@ATTRIBUTE base_bin7 NUMERIC
@ATTRIBUTE base_bin8 NUMERIC
@ATTRIBUTE base_bin9 NUMERIC
@ATTRIBUTE base_bin10 NUMERIC
@ATTRIBUTE target_bin1 NUMERIC
@ATTRIBUTE target_bin2 NUMERIC
@ATTRIBUTE target_bin3 NUMERIC
@ATTRIBUTE target_bin4 NUMERIC
@ATTRIBUTE target_bin5 NUMERIC
@ATTRIBUTE target_bin6 NUMERIC
@ATTRIBUTE target_bin7 NUMERIC
@ATTRIBUTE target_bin8 NUMERIC
@ATTRIBUTE target_bin9 NUMERIC
@ATTRIBUTE target_bin10 NUMERIC

@DATA
http://wwatana.be/mobile/mobile/201801/2/,17.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/17.png,results/motog4/17.png,104.0,100.0,298.0,284.0,208.0,208.0,200.0,200.0,103.0,99.0,305.0,291.0,509185.0,206517.7,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[5]/img[1],/body[2]/div[1]/div[3]/div[5]/img[1],/body[2]/div[1]/div[3]/div[5]/img[1],1.0,153.0,147.0,491.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,-webkit-standard,'Times New Roman',0,0,253,1,1,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0,1
http://wwatana.be/mobile/mobile/201801/2/,16.0,DIV,1.0,21.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,null,null,103.0,99.0,305.0,291.0,202.0,202.0,202.0,202.0,18.0,18.0,276.0,263.0,0.0,0.0,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[5],/body[2]/div[1]/div[3]/div[5],/body[2]/div[1]/div[3]/div[5],0.0,153.0,147.0,491.0,463.0,0.0,0.0,0.0,0.0,2.0,2.0,-webkit-standard,'Times New Roman',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/2/,15.0,DIV,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/15.png,results/motog4/15.png,153.0,147.0,491.0,463.0,2.0,2.0,80.0,80.0,18.0,18.0,276.0,263.0,37672.0,159.0,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/div[4],/body[2]/div[1]/div[3]/div[4],/body[2]/div[1]/div[3]/div[4],0.0,45.0,43.0,508.0,478.0,103.0,99.0,305.0,291.0,0.0,0.0,-webkit-standard,'Times New Roman',0,0,241,10,1,2,1,0,0,0,0,1,225,16,5,3,0,3,1,0,1,2
http://wwatana.be/mobile/mobile/201801/2/,14.0,P2,0.0,205.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/14.png,results/motog4/14.png,45.0,43.0,508.0,478.0,132.0,132.0,283.0,272.0,18.0,18.0,276.0,263.0,1688499.0,47926.2,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/p2[3],/body[2]/div[1]/div[3]/p2[3],/body[2]/div[1]/div[3]/p2[3],0.8,113.0,108.0,469.0,444.0,153.0,147.0,491.0,463.0,1.0,1.0,'trebuchet ms','Trebuchet MS',1,1,253,1,1,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0,1
http://wwatana.be/mobile/mobile/201801/2/,13.0,H2,0.0,21.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/13.png,results/motog4/13.png,113.0,108.0,469.0,444.0,24.0,24.0,177.0,178.0,18.0,18.0,276.0,263.0,513495.0,5306.9,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/h2[2],/body[2]/div[1]/div[3]/h2[2],/body[2]/div[1]/div[3]/h2[2],0.6,0.0,0.0,0.0,0.0,45.0,43.0,508.0,478.0,1.0,1.0,'trebuchet ms','Trebuchet MS',0,0,244,9,0,1,0,0,0,0,0,2,255,0,0,0,0,0,0,0,0,1
http://wwatana.be/mobile/mobile/201801/2/,6.0,DIV,12.0,702.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,null,null,18.0,18.0,276.0,263.0,553.0,512.0,337.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3],/body[2]/div[1]/div[3],/body[2]/div[1]/div[3],0.0,37.0,36.0,126.0,125.0,0.0,0.0,0.0,0.0,7.0,7.0,-webkit-standard,'Times New Roman',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/2/,5.0,P,0.0,79.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/5.png,results/motog4/5.png,37.0,36.0,215.0,212.0,81.0,81.0,300.0,288.0,37.0,36.0,126.0,125.0,1700784.0,1174819.4,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2]/p[2],/body[2]/div[1]/div[2]/p[2],/body[2]/div[1]/div[2]/p[2],1.0,37.0,36.0,143.0,140.0,18.0,18.0,276.0,263.0,1.0,1.0,'trebuchet ms','Trebuchet MS',0,1,253,0,0,0,0,1,1,0,0,1,253,0,0,0,1,0,0,0,1,1
http://wwatana.be/mobile/mobile/201801/2/,4.0,H1,0.0,8.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/4.png,results/motog4/4.png,37.0,36.0,143.0,140.0,45.0,45.0,300.0,288.0,37.0,36.0,126.0,125.0,626499.0,764277.3,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2]/h1[1],/body[2]/div[1]/div[2]/h1[1],/body[2]/div[1]/div[2]/h1[1],1.0,147.0,140.0,38.0,35.0,37.0,36.0,215.0,212.0,1.0,1.0,'trebuchet ms','Trebuchet MS',0,1,255,0,0,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0,1
http://wwatana.be/mobile/mobile/201801/2/,3.0,DIV,2.0,106.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,null,null,37.0,36.0,126.0,125.0,165.0,153.0,300.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[2],/body[2]/div[1]/div[2],/body[2]/div[1]/div[2],0.0,147.0,140.0,38.0,35.0,18.0,18.0,276.0,263.0,3.0,3.0,-webkit-standard,'Times New Roman',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/2/,2.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/2.png,results/motog4/2.png,147.0,140.0,38.0,35.0,80.0,80.0,80.0,80.0,147.0,140.0,38.0,35.0,60968.0,108851.6,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[1]/img[1],/body[2]/div[1]/div[1]/img[1],/body[2]/div[1]/div[1]/img[1],1.0,0.0,0.0,0.0,0.0,37.0,36.0,126.0,125.0,0.0,0.0,-webkit-standard,'Times New Roman',0,0,253,1,1,0,0,0,0,0,0,1,254,0,1,0,0,0,0,0,0,1
